"ingresototal","mujer","ingresototal.conruido"
2500,0,2470.99582230024
7000,1,7237.15296827859
40000,0,40234.3724104965
40000,1,40126.784241467
25000,0,25385.5101225302
25000,1,25352.7175916138
50000,1,50268.6237566657
64000,1,64181.8228478668
66000,1,66450.3841589901
23000,1,22936.5983889731
3500,1,3778.84830726611
32000,1,32279.9550761029
47000,1,47089.0819743333
26000,0,26266.5745597899
23000,1,23331.6996641312
40000,1,40570.8387320782
37800,1,38026.8959565544
34596,0,34865.0548170333
34596,1,34853.4735827463
26000,1,26182.7658786413
84000,0,84287.6103339124
33000,0,33333.7107818557
120000,1,120352.811046188
34500,1,35027.0598455031
25150,1,25289.237268535
85000,1,85158.0070320775
141000,0,141153.31523005
25000,1,25099.9414274449
15200,0,15497.2737222546
70000,1,70182.654016904
150000,1,150109.662831313
30000,0,30256.827786834
30000,1,30362.3206128196
45000,1,45232.242052795
37000,1,37196.9264829716
50000,1,50709.6952895606
20000,1,20306.5452337314
45000,1,45769.2252225407
42000,1,42343.1495017933
162000,0,162410.608180493
36000,0,36031.2671674291
23000,1,23422.2365018303
24000,1,24487.1536347243
23000,0,23234.3755037077
23000,1,23382.7080317304
28000,0,28108.3184408896
14000,0,13980.9139217141
20500,1,20955.4024747721
16000,0,16312.4872632956
18000,1,18135.1840976321
40000,1,40229.7828617222
30900,1,30770.9816294934
34900,1,35169.7279279796
69000,1,69379.8285822102
23000,1,23249.9226797164
72570,1,72956.1669321117
35000,1,35271.2341767979
23000,1,23555.2878969303
23000,1,23413.7773278127
105000,1,105558.992481554
53000,1,53030.020156968
35000,0,35578.4263939063
35000,1,35150.7000420949
30000,1,30230.2177632895
106500,1,106948.037303944
23000,0,23022.5690179427
163000,1,163380.206945533
36000,1,36522.2735225658
42000,1,42228.979517405
45000,1,45154.2158751266
60000,0,60524.3773339324
105000,1,105413.531112119
3500,1,3854.32068892306
50000,0,50224.2809437568
25000,1,25598.6796310899
26000,0,26180.9594071099
26000,1,26305.4321502965
22000,1,22073.6408513042
170000,1,170248.894054932
90000,1,90404.4270712818
120000,0,120206.367719901
107500,1,107488.449434024
105000,1,105423.097024102
20000,1,20412.5261467415
26800,1,26933.3939882275
60000,1,60225.175591341
30000,0,30108.3745001217
55000,1,55137.7757791348
60000,1,60505.8894924564
35500,0,35986.5086208226
60000,0,60153.8706747497
90000,1,90314.0709776036
34000,1,34376.9997167544
24000,0,24289.5901970823
4000,1,4554.36379281155
22500,0,22756.884122494
63000,1,63568.5167145339
34500,1,35029.3043251406
17000,0,17269.1108094926
17000,1,17016.3321653619
140000,0,140301.294087629
19000,0,19555.2293648295
22000,1,22435.2127391609
38000,0,38382.7799202316
4500,0,4597.49193843619
23000,0,23406.4859178452
21000,1,21308.721706061
90000,1,90383.8983818817
60000,0,60345.0417759312
30000,1,30374.6080904993
22000,1,22097.8040649587
25000,1,25227.8367192919
56000,0,56302.1741177853
6400,1,6778.2520340322
34596,1,34819.9190219564
37200,0,37494.0140445352
70000,1,70314.5786369015
60000,1,60198.297125524
90000,1,90141.2154546957
